,name,version,url,dependency,dependency_version
0,BiocGenerics,0.44.0,https://www.bioconductor.org/packages/release/bioc/html/BiocGenerics.html,R,>= 4.0.0
1,BiocGenerics,0.44.0,https://www.bioconductor.org/packages/release/bioc/html/BiocGenerics.html,methods,
2,BiocGenerics,0.44.0,https://www.bioconductor.org/packages/release/bioc/html/BiocGenerics.html,utils,
3,BiocGenerics,0.44.0,https://www.bioconductor.org/packages/release/bioc/html/BiocGenerics.html,graphics,
4,BiocGenerics,0.44.0,https://www.bioconductor.org/packages/release/bioc/html/BiocGenerics.html,stats,
5,BiocGenerics,0.44.0,https://www.bioconductor.org/packages/release/bioc/html/BiocGenerics.html,methods,
6,BiocGenerics,0.44.0,https://www.bioconductor.org/packages/release/bioc/html/BiocGenerics.html,utils,
7,BiocGenerics,0.44.0,https://www.bioconductor.org/packages/release/bioc/html/BiocGenerics.html,graphics,
8,BiocGenerics,0.44.0,https://www.bioconductor.org/packages/release/bioc/html/BiocGenerics.html,stats,
9,S4Vectors,0.36.1,https://www.bioconductor.org/packages/release/bioc/html/S4Vectors.html,R,>= 4.0.0
10,S4Vectors,0.36.1,https://www.bioconductor.org/packages/release/bioc/html/S4Vectors.html,methods,
11,S4Vectors,0.36.1,https://www.bioconductor.org/packages/release/bioc/html/S4Vectors.html,utils,
12,S4Vectors,0.36.1,https://www.bioconductor.org/packages/release/bioc/html/S4Vectors.html,stats,
13,S4Vectors,0.36.1,https://www.bioconductor.org/packages/release/bioc/html/S4Vectors.html,stats4,
14,S4Vectors,0.36.1,https://www.bioconductor.org/packages/release/bioc/html/S4Vectors.html,BiocGenerics,
15,BiocVersion,3.16.0,https://www.bioconductor.org/packages/release/bioc/html/BiocVersion.html,R,>= 4.2.0
16,GenomeInfoDb,1.34.9,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,R,>= 4.0.0
17,GenomeInfoDb,1.34.9,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,methods,
18,GenomeInfoDb,1.34.9,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,BiocGenerics,
19,GenomeInfoDb,1.34.9,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,S4Vectors,
20,GenomeInfoDb,1.34.9,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,IRanges,
21,GenomeInfoDb,1.34.9,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,stats,
22,GenomeInfoDb,1.34.9,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,stats4,
23,GenomeInfoDb,1.34.9,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,utils,
24,GenomeInfoDb,1.34.9,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,RCurl,
25,GenomeInfoDb,1.34.9,https://www.bioconductor.org/packages/release/bioc/html/GenomeInfoDb.html,GenomeInfoDbData,
26,IRanges,2.32.0,https://www.bioconductor.org/packages/release/bioc/html/IRanges.html,R,>= 4.0.0
27,IRanges,2.32.0,https://www.bioconductor.org/packages/release/bioc/html/IRanges.html,methods,
28,IRanges,2.32.0,https://www.bioconductor.org/packages/release/bioc/html/IRanges.html,utils,
29,IRanges,2.32.0,https://www.bioconductor.org/packages/release/bioc/html/IRanges.html,stats,
30,IRanges,2.32.0,https://www.bioconductor.org/packages/release/bioc/html/IRanges.html,BiocGenerics,
31,IRanges,2.32.0,https://www.bioconductor.org/packages/release/bioc/html/IRanges.html,S4Vectors,
32,IRanges,2.32.0,https://www.bioconductor.org/packages/release/bioc/html/IRanges.html,stats4,
33,Biobase,2.58.0,https://www.bioconductor.org/packages/release/bioc/html/Biobase.html,R,>= 2.10
34,Biobase,2.58.0,https://www.bioconductor.org/packages/release/bioc/html/Biobase.html,BiocGenerics,
35,Biobase,2.58.0,https://www.bioconductor.org/packages/release/bioc/html/Biobase.html,utils,
36,Biobase,2.58.0,https://www.bioconductor.org/packages/release/bioc/html/Biobase.html,methods,
37,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,R,>= 4.0.0
38,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,methods,
39,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,BiocGenerics,
40,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,S4Vectors,
41,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,IRanges,
42,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,methods,
43,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,utils,
44,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,tools,
45,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,zlibbioc,
46,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,BiocGenerics,
47,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,S4Vectors,
48,XVector,0.38.0,https://www.bioconductor.org/packages/release/bioc/html/XVector.html,IRanges,
49,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,R,>= 4.0.0
50,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,methods,
51,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,BiocGenerics,
52,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,S4Vectors,
53,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,IRanges,
54,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,XVector,
55,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,GenomeInfoDb,
56,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,methods,
57,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,utils,
58,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,grDevices,
59,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,graphics,
60,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,stats,
61,Biostrings,2.66.0,https://www.bioconductor.org/packages/release/bioc/html/Biostrings.html,crayon,
62,BiocParallel,1.32.5,https://www.bioconductor.org/packages/release/bioc/html/BiocParallel.html,methods,
63,BiocParallel,1.32.5,https://www.bioconductor.org/packages/release/bioc/html/BiocParallel.html,R,>= 3.5.0
64,BiocParallel,1.32.5,https://www.bioconductor.org/packages/release/bioc/html/BiocParallel.html,stats,
65,BiocParallel,1.32.5,https://www.bioconductor.org/packages/release/bioc/html/BiocParallel.html,utils,
66,BiocParallel,1.32.5,https://www.bioconductor.org/packages/release/bioc/html/BiocParallel.html,futile.logger,
67,BiocParallel,1.32.5,https://www.bioconductor.org/packages/release/bioc/html/BiocParallel.html,parallel,
68,BiocParallel,1.32.5,https://www.bioconductor.org/packages/release/bioc/html/BiocParallel.html,snow,
69,BiocParallel,1.32.5,https://www.bioconductor.org/packages/release/bioc/html/BiocParallel.html,codetools,
70,GenomicRanges,1.50.2,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html,R,>= 4.0.0
71,GenomicRanges,1.50.2,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html,methods,
72,GenomicRanges,1.50.2,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html,stats4,
73,GenomicRanges,1.50.2,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html,BiocGenerics,
74,GenomicRanges,1.50.2,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html,S4Vectors,
75,GenomicRanges,1.50.2,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html,IRanges,
76,GenomicRanges,1.50.2,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html,GenomeInfoDb,
77,GenomicRanges,1.50.2,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html,utils,
78,GenomicRanges,1.50.2,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html,stats,
79,GenomicRanges,1.50.2,https://www.bioconductor.org/packages/release/bioc/html/GenomicRanges.html,XVector,
80,DelayedArray,0.24.0,https://www.bioconductor.org/packages/release/bioc/html/DelayedArray.html,R,>= 4.0.0
81,DelayedArray,0.24.0,https://www.bioconductor.org/packages/release/bioc/html/DelayedArray.html,methods,
82,DelayedArray,0.24.0,https://www.bioconductor.org/packages/release/bioc/html/DelayedArray.html,stats4,
83,DelayedArray,0.24.0,https://www.bioconductor.org/packages/release/bioc/html/DelayedArray.html,Matrix,
84,DelayedArray,0.24.0,https://www.bioconductor.org/packages/release/bioc/html/DelayedArray.html,BiocGenerics,
85,DelayedArray,0.24.0,https://www.bioconductor.org/packages/release/bioc/html/DelayedArray.html,MatrixGenerics,
86,DelayedArray,0.24.0,https://www.bioconductor.org/packages/release/bioc/html/DelayedArray.html,S4Vectors,
87,DelayedArray,0.24.0,https://www.bioconductor.org/packages/release/bioc/html/DelayedArray.html,IRanges,
88,DelayedArray,0.24.0,https://www.bioconductor.org/packages/release/bioc/html/DelayedArray.html,stats,
89,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,R,>= 4.0.0
90,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,methods,
91,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,MatrixGenerics,
92,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,GenomicRanges,
93,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,Biobase,
94,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,utils,
95,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,stats,
96,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,tools,
97,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,Matrix,
98,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,BiocGenerics,
99,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,S4Vectors,
100,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,IRanges,
101,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,GenomeInfoDb,
102,SummarizedExperiment,1.28.0,https://www.bioconductor.org/packages/release/bioc/html/SummarizedExperiment.html,DelayedArray,
103,MatrixGenerics,1.10.0,https://www.bioconductor.org/packages/release/bioc/html/MatrixGenerics.html,matrixStats,>= 0.60.1
104,MatrixGenerics,1.10.0,https://www.bioconductor.org/packages/release/bioc/html/MatrixGenerics.html,methods,
105,limma,3.54.1,https://www.bioconductor.org/packages/release/bioc/html/limma.html,R,>= 3.6.0
106,limma,3.54.1,https://www.bioconductor.org/packages/release/bioc/html/limma.html,grDevices,
107,limma,3.54.1,https://www.bioconductor.org/packages/release/bioc/html/limma.html,graphics,
108,limma,3.54.1,https://www.bioconductor.org/packages/release/bioc/html/limma.html,stats,
109,limma,3.54.1,https://www.bioconductor.org/packages/release/bioc/html/limma.html,utils,
110,limma,3.54.1,https://www.bioconductor.org/packages/release/bioc/html/limma.html,methods,
111,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,R,>= 2.7.0
112,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,methods,
113,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,utils,
114,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,stats4,
115,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,BiocGenerics,
116,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,Biobase,
117,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,IRanges,
118,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,DBI,
119,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,RSQLite,
120,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,S4Vectors,
121,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,stats,
122,AnnotationDbi,1.60.0,https://www.bioconductor.org/packages/release/bioc/html/AnnotationDbi.html,KEGGREST,
123,KEGGREST,1.38.0,https://www.bioconductor.org/packages/release/bioc/html/KEGGREST.html,R,>= 3.5.0
124,KEGGREST,1.38.0,https://www.bioconductor.org/packages/release/bioc/html/KEGGREST.html,methods,
125,KEGGREST,1.38.0,https://www.bioconductor.org/packages/release/bioc/html/KEGGREST.html,httr,
126,KEGGREST,1.38.0,https://www.bioconductor.org/packages/release/bioc/html/KEGGREST.html,png,
127,KEGGREST,1.38.0,https://www.bioconductor.org/packages/release/bioc/html/KEGGREST.html,Biostrings,
128,annotate,1.76.0,https://www.bioconductor.org/packages/release/bioc/html/annotate.html,R,>= 2.10
